engine_id,miss,lead_time,late_delay,early_burden,cost
1,0,34.0,0.0,4.0,4.0
2,1,,30.0,0.0,250.0
3,1,,30.0,0.0,250.0
4,1,,30.0,0.0,250.0
5,1,,30.0,0.0,250.0
6,1,,30.0,0.0,250.0
7,1,,30.0,0.0,250.0
8,0,74.0,0.0,44.0,44.0
9,1,,30.0,0.0,250.0
10,1,,30.0,0.0,250.0
11,1,,30.0,0.0,250.0
12,0,191.0,0.0,161.0,161.0
13,1,,30.0,0.0,250.0
14,1,,30.0,0.0,250.0
15,0,56.0,0.0,26.0,26.0
16,1,,30.0,0.0,250.0
17,1,,30.0,0.0,250.0
18,1,,30.0,0.0,250.0
19,1,,30.0,0.0,250.0
20,1,,30.0,0.0,250.0
21,1,,30.0,0.0,250.0
22,0,40.0,0.0,10.0,10.0
23,0,45.0,0.0,15.0,15.0
24,1,,30.0,0.0,250.0
25,0,99.0,0.0,69.0,69.0
26,1,,30.0,0.0,250.0
27,1,,30.0,0.0,250.0
28,1,,30.0,0.0,250.0
29,1,,30.0,0.0,250.0
30,1,,30.0,0.0,250.0
31,0,24.0,6.0,0.0,30.0
32,0,56.0,0.0,26.0,26.0
33,1,,30.0,0.0,250.0
34,0,334.0,0.0,304.0,304.0
35,0,99.0,0.0,69.0,69.0
36,1,,30.0,0.0,250.0
37,0,93.0,0.0,63.0,63.0
38,0,30.0,0.0,0.0,0.0
39,1,,30.0,0.0,250.0
40,0,52.0,0.0,22.0,22.0
41,1,,30.0,0.0,250.0
42,0,72.0,0.0,42.0,42.0
43,1,,30.0,0.0,250.0
44,0,131.0,0.0,101.0,101.0
45,1,,30.0,0.0,250.0
46,1,,30.0,0.0,250.0
47,0,111.0,0.0,81.0,81.0
48,1,,30.0,0.0,250.0
49,0,52.0,0.0,22.0,22.0
50,1,,30.0,0.0,250.0
51,1,,30.0,0.0,250.0
52,0,182.0,0.0,152.0,152.0
53,1,,30.0,0.0,250.0
54,1,,30.0,0.0,250.0
55,1,,30.0,0.0,250.0
56,1,,30.0,0.0,250.0
57,1,,30.0,0.0,250.0
58,0,29.0,1.0,0.0,5.0
59,1,,30.0,0.0,250.0
60,1,,30.0,0.0,250.0
61,0,159.0,0.0,129.0,129.0
62,0,49.0,0.0,19.0,19.0
63,1,,30.0,0.0,250.0
64,0,78.0,0.0,48.0,48.0
65,0,144.0,0.0,114.0,114.0
66,1,,30.0,0.0,250.0
67,0,116.0,0.0,86.0,86.0
68,0,116.0,0.0,86.0,86.0
69,0,39.0,0.0,9.0,9.0
70,0,58.0,0.0,28.0,28.0
71,0,66.0,0.0,36.0,36.0
72,1,,30.0,0.0,250.0
73,0,47.0,0.0,17.0,17.0
74,0,273.0,0.0,243.0,243.0
75,1,,30.0,0.0,250.0
76,1,,30.0,0.0,250.0
77,1,,30.0,0.0,250.0
78,1,,30.0,0.0,250.0
79,1,,30.0,0.0,250.0
80,1,,30.0,0.0,250.0
81,1,,30.0,0.0,250.0
82,0,35.0,0.0,5.0,5.0
83,1,,30.0,0.0,250.0
84,1,,30.0,0.0,250.0
85,1,,30.0,0.0,250.0
86,0,120.0,0.0,90.0,90.0
87,1,,30.0,0.0,250.0
88,1,,30.0,0.0,250.0
89,0,114.0,0.0,84.0,84.0
90,0,118.0,0.0,88.0,88.0
91,0,82.0,0.0,52.0,52.0
92,1,,30.0,0.0,250.0
93,1,,30.0,0.0,250.0
94,1,,30.0,0.0,250.0
95,1,,30.0,0.0,250.0
96,1,,30.0,0.0,250.0
97,1,,30.0,0.0,250.0
98,1,,30.0,0.0,250.0
99,0,43.0,0.0,13.0,13.0
100,0,32.0,0.0,2.0,2.0
101,0,61.0,0.0,31.0,31.0
102,0,100.0,0.0,70.0,70.0
103,0,12.0,18.0,0.0,90.0
104,1,,30.0,0.0,250.0
105,0,131.0,0.0,101.0,101.0
106,0,115.0,0.0,85.0,85.0
107,1,,30.0,0.0,250.0
108,1,,30.0,0.0,250.0
109,1,,30.0,0.0,250.0
110,0,59.0,0.0,29.0,29.0
111,0,289.0,0.0,259.0,259.0
112,1,,30.0,0.0,250.0
113,0,28.0,2.0,0.0,10.0
114,0,45.0,0.0,15.0,15.0
115,1,,30.0,0.0,250.0
116,0,28.0,2.0,0.0,10.0
117,1,,30.0,0.0,250.0
118,0,49.0,0.0,19.0,19.0
119,0,126.0,0.0,96.0,96.0
120,1,,30.0,0.0,250.0
121,0,80.0,0.0,50.0,50.0
122,1,,30.0,0.0,250.0
123,0,47.0,0.0,17.0,17.0
124,0,107.0,0.0,77.0,77.0
125,1,,30.0,0.0,250.0
126,0,110.0,0.0,80.0,80.0
127,1,,30.0,0.0,250.0
128,1,,30.0,0.0,250.0
129,1,,30.0,0.0,250.0
130,1,,30.0,0.0,250.0
131,1,,30.0,0.0,250.0
132,1,,30.0,0.0,250.0
133,1,,30.0,0.0,250.0
134,0,64.0,0.0,34.0,34.0
135,0,90.0,0.0,60.0,60.0
136,1,,30.0,0.0,250.0
137,1,,30.0,0.0,250.0
138,1,,30.0,0.0,250.0
139,1,,30.0,0.0,250.0
140,1,,30.0,0.0,250.0
141,1,,30.0,0.0,250.0
142,1,,30.0,0.0,250.0
143,0,89.0,0.0,59.0,59.0
144,1,,30.0,0.0,250.0
145,1,,30.0,0.0,250.0
146,1,,30.0,0.0,250.0
147,0,80.0,0.0,50.0,50.0
148,1,,30.0,0.0,250.0
149,1,,30.0,0.0,250.0
150,0,83.0,0.0,53.0,53.0
151,0,111.0,0.0,81.0,81.0
152,1,,30.0,0.0,250.0
153,1,,30.0,0.0,250.0
154,0,48.0,0.0,18.0,18.0
155,0,27.0,3.0,0.0,15.0
156,1,,30.0,0.0,250.0
157,1,,30.0,0.0,250.0
158,0,46.0,0.0,16.0,16.0
159,0,54.0,0.0,24.0,24.0
160,1,,30.0,0.0,250.0
161,0,318.0,0.0,288.0,288.0
162,1,,30.0,0.0,250.0
163,1,,30.0,0.0,250.0
164,1,,30.0,0.0,250.0
165,1,,30.0,0.0,250.0
166,1,,30.0,0.0,250.0
167,1,,30.0,0.0,250.0
168,1,,30.0,0.0,250.0
169,1,,30.0,0.0,250.0
170,1,,30.0,0.0,250.0
171,1,,30.0,0.0,250.0
172,0,13.0,17.0,0.0,85.0
173,0,55.0,0.0,25.0,25.0
174,0,21.0,9.0,0.0,45.0
175,0,199.0,0.0,169.0,169.0
176,0,109.0,0.0,79.0,79.0
177,0,25.0,5.0,0.0,25.0
178,1,,30.0,0.0,250.0
179,0,66.0,0.0,36.0,36.0
180,0,260.0,0.0,230.0,230.0
181,0,94.0,0.0,64.0,64.0
182,1,,30.0,0.0,250.0
183,0,55.0,0.0,25.0,25.0
184,0,29.0,1.0,0.0,5.0
185,0,49.0,0.0,19.0,19.0
186,1,,30.0,0.0,250.0
187,0,28.0,2.0,0.0,10.0
188,1,,30.0,0.0,250.0
189,0,59.0,0.0,29.0,29.0
190,0,45.0,0.0,15.0,15.0
191,1,,30.0,0.0,250.0
192,0,71.0,0.0,41.0,41.0
193,1,,30.0,0.0,250.0
194,0,45.0,0.0,15.0,15.0
195,1,,30.0,0.0,250.0
196,1,,30.0,0.0,250.0
197,0,75.0,0.0,45.0,45.0
198,0,33.0,0.0,3.0,3.0
199,1,,30.0,0.0,250.0
200,1,,30.0,0.0,250.0
201,1,,30.0,0.0,250.0
202,0,87.0,0.0,57.0,57.0
203,0,249.0,0.0,219.0,219.0
204,1,,30.0,0.0,250.0
205,1,,30.0,0.0,250.0
206,0,237.0,0.0,207.0,207.0
207,1,,30.0,0.0,250.0
208,1,,30.0,0.0,250.0
209,0,42.0,0.0,12.0,12.0
210,1,,30.0,0.0,250.0
211,1,,30.0,0.0,250.0
212,1,,30.0,0.0,250.0
213,0,57.0,0.0,27.0,27.0
214,1,,30.0,0.0,250.0
215,1,,30.0,0.0,250.0
216,0,66.0,0.0,36.0,36.0
217,0,78.0,0.0,48.0,48.0
218,1,,30.0,0.0,250.0
219,0,44.0,0.0,14.0,14.0
220,1,,30.0,0.0,250.0
221,1,,30.0,0.0,250.0
222,1,,30.0,0.0,250.0
223,0,78.0,0.0,48.0,48.0
224,0,30.0,0.0,0.0,0.0
225,1,,30.0,0.0,250.0
226,1,,30.0,0.0,250.0
227,1,,30.0,0.0,250.0
228,1,,30.0,0.0,250.0
229,1,,30.0,0.0,250.0
230,1,,30.0,0.0,250.0
231,0,65.0,0.0,35.0,35.0
232,1,,30.0,0.0,250.0
233,1,,30.0,0.0,250.0
234,1,,30.0,0.0,250.0
235,0,77.0,0.0,47.0,47.0
236,1,,30.0,0.0,250.0
237,0,86.0,0.0,56.0,56.0
238,0,43.0,0.0,13.0,13.0
239,1,,30.0,0.0,250.0
240,0,130.0,0.0,100.0,100.0
241,1,,30.0,0.0,250.0
242,1,,30.0,0.0,250.0
243,1,,30.0,0.0,250.0
244,0,79.0,0.0,49.0,49.0
245,1,,30.0,0.0,250.0
246,1,,30.0,0.0,250.0
247,1,,30.0,0.0,250.0
248,0,69.0,0.0,39.0,39.0
