candidate_id,family,kernel,nu,gamma,n_available_fit_rows,n_selected_fit_rows,used_all_fit_rows,sample_cap,n_reference_rows,n_engine_balanced_reference_rows,fit_time_seconds,reference_score_time_seconds,reference_score_min,reference_score_median,reference_score_max
ocsvm_nu0p01_gamma_0p01,ocsvm,rbf,0.01,0.01,3867,3867,True,20000,1820,432,0.010165214998778538,0.0034288980004930636,-23.15021419985153,-21.107070769923837,-17.16220733907344
ocsvm_nu0p01_gamma_scale,ocsvm,rbf,0.01,scale,3867,3867,True,20000,1820,432,0.016925027999604936,0.012888196000858443,-4.703476039660871,-3.2634672896828785,-1.0970432106062908
ocsvm_nu0p05_gamma_0p01,ocsvm,rbf,0.05,0.01,3867,3867,True,20000,1820,432,0.03765456800101674,0.016825235001306282,-125.62530156984992,-113.95025223749153,-91.65807691037449
ocsvm_nu0p05_gamma_scale,ocsvm,rbf,0.05,scale,3867,3867,True,20000,1820,432,0.03821793300085119,0.020046796998940408,-27.981866335551498,-19.280637894812443,-6.742376373122624
ocsvm_nu0p1_gamma_0p01,ocsvm,rbf,0.1,0.01,3867,3867,True,20000,1820,432,0.06937777500024822,0.03548402199885459,-261.5481392393393,-237.2819613470192,-185.93086071877772
ocsvm_nu0p1_gamma_scale,ocsvm,rbf,0.1,scale,3867,3867,True,20000,1820,432,0.0693048289995204,0.033775922000131686,-63.722121711555744,-43.81802524710474,-11.847379663542515
