source,training,MAE,RMSE,R2,PHM_mean
FD001,"source train engines, Ridge/window-15",91.8489805370284,94.10607707116499,-28.869948542176655,1832.045277338876
FD002,"source train engines, Ridge/window-15",6.6841055002920235,14.869129341016874,0.2542895767551464,26.40166695312053
FD003,"source train engines, Ridge/window-15",85.75264824812469,90.85770533788056,-26.84342545569854,1709.5645352062716
FD004_dedicated,condition_aware rf,5.711454486911974,10.64044133714186,0.6181274700433247,3.0753668197117645
