partition,horizon,precision,recall,threshold
val_calib,10,0.054294175715695954,1.0,3.215653590605072e-25
val_calib,10,0.05432098765432099,1.0,1.1357310936554087e-24
val_calib,10,0.05434782608695652,1.0,5.361508464385954e-21
val_calib,10,0.05437469105289174,1.0,1.6662620587447983e-20
val_calib,10,0.05440158259149357,1.0,5.3688747639823534e-20
val_calib,10,0.05442850074220683,1.0,5.789563282312407e-20
val_calib,10,0.054455445544554455,1.0,7.257246340854765e-20
val_calib,10,0.05448241703813769,1.0,1.6901643010440525e-19
val_calib,10,0.05450941526263627,1.0,3.372987780340188e-19
val_calib,10,0.05453644025780863,1.0,2.2229925559733245e-18
val_calib,10,0.054563492063492064,1.0,6.038622859405327e-18
val_calib,10,0.05459057071960298,1.0,6.1416894372031474e-18
val_calib,10,0.05461767626613704,1.0,9.574757992231467e-18
val_calib,10,0.0546448087431694,1.0,1.1374426045879011e-17
val_calib,10,0.05467196819085487,1.0,1.2171591642400802e-17
val_calib,10,0.05469915464942814,1.0,1.5465665396505267e-17
val_calib,10,0.05472636815920398,1.0,1.555828377069529e-17
val_calib,10,0.0547536087605774,1.0,1.6219013580596725e-17
val_calib,10,0.054780876494023904,1.0,1.746112414339264e-17
val_calib,10,0.05480817140009965,1.0,1.9489007332751976e-17
val_calib,10,0.054835493519441676,1.0,2.0479595167601833e-17
val_calib,10,0.05486284289276808,1.0,2.3737822382171322e-17
val_calib,10,0.054890219560878244,1.0,2.6052803718563902e-17
val_calib,10,0.05491762356465302,1.0,2.6152059894803536e-17
val_calib,10,0.054945054945054944,1.0,2.6482167715107842e-17
val_calib,10,0.054972513743128434,1.0,2.6779220566269866e-17
val_calib,10,0.055,1.0,2.7145436658646805e-17
val_calib,10,0.05502751375687844,1.0,2.7621516893999777e-17
val_calib,10,0.055055055055055056,1.0,2.827017409480137e-17
val_calib,10,0.05508262393590386,1.0,2.851340478490528e-17
val_calib,10,0.05511022044088176,1.0,2.8608851045414213e-17
val_calib,10,0.05513784461152882,1.0,3.106592940825221e-17
val_calib,10,0.055165496489468405,1.0,3.2863405749454514e-17
val_calib,10,0.05519317611640743,1.0,3.3061254487201465e-17
val_calib,10,0.055220883534136546,1.0,3.374604169571795e-17
val_calib,10,0.055248618784530384,1.0,3.419640095054681e-17
val_calib,10,0.05527638190954774,1.0,3.649020150970688e-17
val_calib,10,0.05530417295123177,1.0,3.741039799957127e-17
val_calib,10,0.05533199195171026,1.0,3.874345371985292e-17
val_calib,10,0.055359838953195774,1.0,4.005520563934824e-17
val_calib,10,0.0553877139979859,1.0,4.07408298373649e-17
val_calib,10,0.055415617128463476,1.0,4.332600592140335e-17
val_calib,10,0.055443548387096774,1.0,4.9554486797244826e-17
val_calib,10,0.05547150781643974,1.0,4.975712808380004e-17
val_calib,10,0.055499495459132187,1.0,5.0808381716812596e-17
val_calib,10,0.05552751135790005,1.0,5.131151064725428e-17
val_calib,10,0.05555555555555555,1.0,5.83587639532535e-17
val_calib,10,0.05558362809499747,1.0,5.920310347101375e-17
val_calib,10,0.055611729019211326,1.0,6.462789714174321e-17
val_calib,10,0.0556398583712696,1.0,6.631581664607451e-17
val_calib,10,0.05566801619433198,1.0,6.844240079808498e-17
val_calib,10,0.05569620253164557,1.0,6.894339872005999e-17
val_calib,10,0.05572441742654509,1.0,7.508252148519808e-17
val_calib,10,0.055752660922453116,1.0,7.538736300228399e-17
val_calib,10,0.055780933062880324,1.0,7.707451182518703e-17
val_calib,10,0.05580923389142567,1.0,7.797798278129436e-17
val_calib,10,0.05583756345177665,1.0,7.825219051924329e-17
val_calib,10,0.055865921787709494,1.0,7.904633215042863e-17
val_calib,10,0.05589430894308943,1.0,7.919071766109285e-17
val_calib,10,0.05592272496187087,1.0,8.139134838652003e-17
val_calib,10,0.05595116988809766,1.0,8.53470798791735e-17
val_calib,10,0.05597964376590331,1.0,8.704376239196356e-17
val_calib,10,0.0560081466395112,1.0,8.894278109819125e-17
val_calib,10,0.056036678553234846,1.0,9.232199452724607e-17
val_calib,10,0.05606523955147808,1.0,1.0024756772357296e-16
val_calib,10,0.05609382967873534,1.0,1.6548178103900133e-16
val_calib,10,0.05612244897959184,1.0,1.716553528890773e-16
val_calib,10,0.05615109749872384,1.0,1.986453285541705e-16
val_calib,10,0.056179775280898875,1.0,2.823934520843684e-16
