model,cap,alpha,window,include_settings,n_features,tune_PHM_mean_dev,tune_MAE_dev,tune_RMSE_dev,tune_R2_dev,tune_nearfail_MAE
ridge,100,0.1,30,False,121,2.712808489110112,10.492410663424398,13.09162052140701,0.7983640848511468,8.419772402171855
ridge,100,0.1,30,True,123,2.7143261687532125,10.492158252660422,13.094515582344474,0.7982748960749856,8.419340829861122
ridge,100,0.1,15,False,121,3.089822645602356,11.202206683041785,13.914952411319671,0.7722048228125987,9.401033516452827
ridge,100,0.1,15,True,123,3.0945600260620303,11.207255451570468,13.922151911719709,0.7719690425258815,9.403026908831135
ridge,100,0.1,5,False,121,3.311481281285726,11.41419883235353,14.183842415742657,0.7633160168533877,10.47677962009498
ridge,100,0.1,5,True,123,3.3156405759675596,11.415985602273047,14.189969449180442,0.7631114906250891,10.475665534049611
