subset,partition,engine_id,n_rows,coverage,average_width_cycles,mean_absolute_error_cycles
FD001,val_calib,19,158,0.9936708860759493,30.00368504859293,4.909045053619974
FD001,val_calib,23,168,0.8571428571428571,27.13208908768966,7.4746306909753155
FD001,val_calib,32,191,0.9581151832460733,30.155337753982316,6.14958318359957
FD001,val_calib,43,207,0.9468599033816425,26.427055250729442,3.9784033122497044
FD001,val_calib,56,275,0.8727272727272727,27.970799760945905,8.73279309838672
FD001,val_calib,70,137,0.7591240875912408,27.930389469686485,11.006845194603848
FD001,val_calib,71,208,1.0,26.970716647897575,4.183679096386549
FD001,val_calib,73,213,0.8779342723004695,30.616595618790864,9.296236173095343
FD001,val_calib,84,267,0.7715355805243446,30.353064944770217,10.816259772480748
FD001,val_calib,97,202,0.9900990099009901,26.401187791671422,3.3557066003334723
