family,candidate_id,reference_type,cutoff,engine_id,n_segments,n_runs,healthy_start_runs,middle_start_runs,near_failure_start_runs,max_run_length,has_run_ge_2,has_run_ge_3,has_run_ge_5,has_run_ge_10
iforest,iforest_n200_ms_0p5,pooled,0.99,91,1,11,0,11,0,45,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,1,1,5,1,4,0,44,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,5,1,35,25,10,0,83,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,10,1,20,15,5,0,51,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,11,1,15,13,2,0,70,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,13,1,6,0,6,0,61,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,16,1,23,17,6,0,90,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,27,1,9,1,8,0,51,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,31,1,21,13,8,0,41,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,34,1,9,2,7,0,76,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,40,1,17,9,8,0,91,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,41,1,13,6,7,0,64,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,45,1,31,8,23,0,43,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,46,1,15,9,6,0,48,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,54,1,20,9,11,0,68,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,74,1,8,2,5,1,31,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,77,1,15,1,14,0,42,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,78,1,24,16,8,0,49,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,81,1,11,1,10,0,66,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,89,1,10,4,6,0,43,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,91,1,14,1,13,0,73,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,1,1,2,0,2,0,44,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,5,1,30,17,13,0,71,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,10,1,19,11,8,0,43,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,11,1,13,9,4,0,64,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,13,1,7,0,7,0,55,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,16,1,21,11,10,0,82,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,27,1,6,0,6,0,51,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,31,1,15,7,8,0,41,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,34,1,3,0,3,0,66,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,40,1,15,4,11,0,75,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,41,1,11,4,7,0,64,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,45,1,18,4,14,0,39,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,46,1,10,6,4,0,42,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,54,1,15,5,10,0,66,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,74,1,4,1,2,1,31,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,77,1,11,1,10,0,42,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,78,1,17,10,7,0,39,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,81,1,8,1,7,0,66,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,89,1,8,3,5,0,40,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,91,1,14,1,13,0,54,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,1,1,3,0,3,0,34,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,5,1,17,12,5,0,71,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,10,1,10,5,5,0,43,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,11,1,10,6,4,0,54,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,13,1,5,0,5,0,55,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,16,1,20,8,12,0,82,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,27,1,6,0,6,0,48,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,31,1,5,1,4,0,41,True,True,True,True
