candidate_id,family,parameters_json,proxy_auc_raw,proxy_auc_pooled_percentile,proxy_auc_engine_balanced_percentile,pooled_percentile_auc_minus_raw,engine_balanced_percentile_auc_minus_raw,per_engine_auc_mean,per_engine_auc_median,per_engine_auc_min,per_engine_auc_max,train_fit_time_seconds,reference_score_time_seconds,val_tune_score_time_seconds,total_runtime_seconds,val_tune_inference_us_per_row,selected_within_family
iforest_n200_ms_0p5,iforest,"{""max_samples"": 0.5, ""n_estimators"": 200}",0.999890633304714,0.9998880780080952,0.9980339547814708,-2.555296618966807e-06,-0.0018566785232431,0.9998487903225806,1.0,0.9969758064516128,1.0,0.3724268639998627,0.0284184780011855,0.0287995250000676,0.4296448670011158,13.10260464061313,True
iforest_n400_ms_0p5,iforest,"{""max_samples"": 0.5, ""n_estimators"": 400}",0.9998507706774604,0.9998221513553294,0.9979976695694835,-2.861932213094054e-05,-0.0018531011079766,0.9998084677419354,1.0,0.9969758064516128,1.0,0.6554678070006048,0.067309853999177,0.0591391799989651,0.7819168409987469,26.905905368046007,False
iforest_n200_ms_auto,iforest,"{""max_samples"": ""auto"", ""n_estimators"": 200}",0.9997894435586084,0.999490473854205,0.9960939735884542,-0.0002989697044033,-0.0036954699701541,0.999504369957999,1.0,0.9909274193548387,1.0,0.5032557960003032,0.0215625159999035,0.0223868140001286,0.5472051260003354,10.18508371252441,False
iforest_n400_ms_auto,iforest,"{""max_samples"": ""auto"", ""n_estimators"": 400}",0.999733227032994,0.9994419232184472,0.9985409256306472,-0.0002913038145466,-0.0011923014023467,0.9994473246287764,1.0,0.9899193548387096,1.0,0.6933678139994299,0.0393496470005629,0.0447946759995829,0.7775121369995758,20.379743402903998,False
lof_k50,lof,"{""n_neighbors"": 50, ""novelty"": true}",0.9993202910993908,0.9990872480477536,0.999068338852774,-0.0002330430516372,-0.0002519522466167,0.9990470118292698,1.0,0.9873271889400922,1.0,0.0995568529997399,0.0458690310006204,0.0522912509986781,0.1977171349990384,23.790378070372224,True
lof_k35,lof,"{""n_neighbors"": 35, ""novelty"": true}",0.9992507870313586,0.9987238848685556,0.998416738214972,-0.000526902162803,-0.0008340488163866,0.9989521201617976,1.0,0.9873271889400922,1.0,0.0823535780000384,0.0360694000009971,0.0439051849989482,0.1623281629999837,19.975061418993743,False
lof_k20,lof,"{""n_neighbors"": 20, ""novelty"": true}",0.9989615274541068,0.998401406435259,0.9984008953759352,-0.0005601210188478,-0.0005606320781715,0.998809947519625,1.0,0.9907834101382488,1.0,0.0697866809987317,0.0296378919993003,0.0324522610007989,0.1318768339988308,14.76444995486756,False
ocsvm_nu0p05_gamma_0p01,ocsvm,"{""gamma"": 0.01, ""kernel"": ""rbf"", ""nu"": 0.05}",0.9999529825422137,0.9990090559712173,0.9990080338525696,-0.0009439265709964,-0.0009449486896438,1.0,1.0,1.0,1.0,0.0376545680010167,0.0168252350013062,0.0237704120008857,0.0782502150032086,10.814564149629526,True
ocsvm_nu0p01_gamma_0p01,ocsvm,"{""gamma"": 0.01, ""kernel"": ""rbf"", ""nu"": 0.01}",0.9999396949997956,0.9999463387710046,0.999939183940472,6.643771208958427e-06,-5.110593237489525e-07,0.9999875930521092,1.0,0.9997518610421836,1.0,0.0101652149987785,0.003428898000493,0.0057707910000317,0.0193649039993032,2.625473612389331,False
ocsvm_nu0p1_gamma_0p01,ocsvm,"{""gamma"": 0.01, ""kernel"": ""rbf"", ""nu"": 0.1}",0.999938672881148,0.9986850443599492,0.9986896438938632,-0.0012536285211988,-0.0012490289872847,1.0,1.0,1.0,1.0,0.0693777750002482,0.0354840219988545,0.0547609250006644,0.1596227219997671,24.913978617226764,False
