horizon,policy,threshold,precision,recall,f1,tp,fp,fn,tn
10,diagnostic_F1_optimal,0.5043078485353117,0.9090909090909091,0.9090909090909091,0.9090909090909091,100,10,10,1906
10,diagnostic_recall_at_least_0_90,0.5213733885399463,0.908256880733945,0.9,0.9041095890410958,99,10,11,1906
20,diagnostic_F1_optimal,0.531220434708323,0.9299065420560748,0.9476190476190476,0.9386792452830188,199,15,11,1801
20,diagnostic_recall_at_least_0_90,0.6451842718988966,0.945,0.9,0.9219512195121952,189,11,21,1805
30,diagnostic_F1_optimal,0.39928178616699495,0.8947368421052632,0.932258064516129,0.9131121642969984,289,34,21,1682
30,diagnostic_recall_at_least_0_90,0.4910562070263653,0.9058441558441559,0.9,0.9029126213592233,279,29,31,1687
