replicate_id,n_engine_draws,n_unique_engines_in_draw,mean_total_cost,miss_rate,mean_miss_component,mean_late_component,mean_early_component,mean_raw_late_delay,mean_raw_early_burden,mean_lead_time_alerted,median_lead_time_alerted,healthy_first_trigger_fraction
495,10,7,0.6933333333333334,0.0,0.0,0.0,0.6933333333333334,0.0,26.8,56.8,55.0,0.0
496,10,7,0.7,0.0,0.0,0.0,0.7,0.0,25.1,55.1,56.0,0.0
497,10,7,0.6133333333333334,0.0,0.0,0.0,0.6133333333333334,0.0,22.6,52.6,55.0,0.0
498,10,6,0.8233333333333335,0.0,0.0,0.0,0.8233333333333335,0.0,40.0,70.0,73.0,0.0
499,10,6,0.5633333333333335,0.0,0.0,0.0,0.5633333333333335,0.0,22.9,52.9,55.0,0.0
500,10,7,0.58,0.0,0.0,0.0,0.58,0.0,24.5,54.5,55.5,0.0
501,10,6,0.39666666666666667,0.0,0.0,0.0,0.39666666666666667,0.0,14.9,44.9,38.0,0.0
502,10,5,0.4033333333333333,0.0,0.0,0.0,0.4033333333333333,0.0,13.2,43.2,37.0,0.0
503,10,5,0.4,0.0,0.0,0.0,0.4,0.0,17.2,47.2,37.5,0.0
504,10,7,0.5933333333333334,0.0,0.0,0.0,0.5933333333333334,0.0,21.9,51.9,55.5,0.0
505,10,7,0.7566666666666667,0.0,0.0,0.0,0.7566666666666667,0.0,29.8,59.8,56.0,0.0
506,10,7,0.6766666666666666,0.0,0.0,0.0,0.6766666666666666,0.0,29.5,59.5,54.0,0.0
507,10,6,0.7100000000000001,0.0,0.0,0.0,0.7100000000000001,0.0,27.3,57.3,54.0,0.0
508,10,6,0.6833333333333333,0.0,0.0,0.0,0.6833333333333333,0.0,26.7,56.7,56.0,0.0
509,10,6,0.5133333333333334,0.0,0.0,0.0,0.5133333333333334,0.0,15.4,45.4,45.5,0.0
510,10,5,0.7833333333333334,0.0,0.0,0.0,0.7833333333333334,0.0,31.9,61.9,56.0,0.0
511,10,6,0.5866666666666667,0.0,0.0,0.0,0.5866666666666667,0.0,23.9,53.9,47.0,0.0
512,10,6,0.71,0.0,0.0,0.0,0.71,0.0,27.7,57.7,56.0,0.0
513,10,8,0.5666666666666667,0.0,0.0,0.0,0.5666666666666667,0.0,24.2,54.2,45.5,0.0
514,10,6,0.71,0.0,0.0,0.0,0.71,0.0,33.5,63.5,56.0,0.0
515,10,5,0.44666666666666666,0.0,0.0,0.0,0.44666666666666666,0.0,20.7,50.7,37.0,0.0
516,10,7,0.52,0.0,0.0,0.0,0.52,0.0,24.7,54.7,46.5,0.0
517,10,6,0.6633333333333333,0.0,0.0,0.0,0.6633333333333333,0.0,21.0,51.0,54.0,0.0
518,10,7,0.7333333333333333,0.0,0.0,0.0,0.7333333333333333,0.0,31.1,61.1,55.5,0.0
519,10,8,0.6433333333333333,0.0,0.0,0.0,0.6433333333333333,0.0,27.6,57.6,55.5,0.0
520,10,7,0.7500000000000001,0.0,0.0,0.0,0.7500000000000001,0.0,32.8,62.8,55.0,0.0
521,10,6,0.7,0.0,0.0,0.0,0.7,0.0,24.0,54.0,54.5,0.0
522,10,7,0.5866666666666667,0.0,0.0,0.0,0.5866666666666667,0.0,23.7,53.7,54.5,0.0
523,10,5,0.5266666666666666,0.0,0.0,0.0,0.5266666666666666,0.0,18.0,48.0,46.0,0.0
524,10,6,0.6700000000000002,0.0,0.0,0.0,0.6700000000000002,0.0,29.3,59.3,56.0,0.0
525,10,6,0.7966666666666666,0.0,0.0,0.0,0.7966666666666666,0.0,28.1,58.1,56.0,0.0
526,10,6,0.51,0.0,0.0,0.0,0.51,0.0,15.3,45.3,45.5,0.0
527,10,6,0.6766666666666667,0.0,0.0,0.0,0.6766666666666667,0.0,30.7,60.7,55.5,0.0
528,10,6,0.82,0.0,0.0,0.0,0.82,0.0,38.9,68.9,71.0,0.0
529,10,6,0.5166666666666667,0.0,0.0,0.0,0.5166666666666667,0.0,17.7,47.7,45.0,0.0
530,10,8,0.6666666666666667,0.0,0.0,0.0,0.6666666666666667,0.0,22.2,52.2,55.0,0.0
531,10,8,0.7466666666666667,0.0,0.0,0.0,0.7466666666666667,0.0,29.6,59.6,56.0,0.0
532,10,6,0.5866666666666667,0.0,0.0,0.0,0.5866666666666667,0.0,18.7,48.7,54.0,0.0
533,10,7,0.6100000000000001,0.0,0.0,0.0,0.6100000000000001,0.0,20.5,50.5,54.0,0.0
534,10,6,0.4666666666666666,0.0,0.0,0.0,0.4666666666666666,0.0,17.0,47.0,45.5,0.0
535,10,7,0.6866666666666666,0.0,0.0,0.0,0.6866666666666666,0.0,27.9,57.9,55.5,0.0
536,10,8,0.6433333333333333,0.0,0.0,0.0,0.6433333333333333,0.0,23.4,53.4,55.0,0.0
537,10,8,0.5233333333333333,0.0,0.0,0.0,0.5233333333333333,0.0,19.8,49.8,45.5,0.0
538,10,5,0.7,0.0,0.0,0.0,0.7,0.0,27.2,57.2,56.0,0.0
539,10,7,0.7833333333333333,0.0,0.0,0.0,0.7833333333333333,0.0,33.6,63.6,56.0,0.0
540,10,7,0.6933333333333332,0.0,0.0,0.0,0.6933333333333332,0.0,30.9,60.9,55.0,0.0
541,10,7,0.6199999999999999,0.0,0.0,0.0,0.6199999999999999,0.0,21.6,51.6,54.0,0.0
542,10,6,0.39,0.0,0.0,0.0,0.39,0.0,14.8,44.8,38.0,0.0
543,10,5,0.8966666666666668,0.0,0.0,0.0,0.8966666666666668,0.0,33.2,63.2,55.5,0.0
544,10,4,0.8366666666666667,0.0,0.0,0.0,0.8366666666666667,0.0,34.1,64.1,56.0,0.0
545,10,5,0.75,0.0,0.0,0.0,0.75,0.0,25.6,55.6,56.0,0.0
546,10,6,0.7266666666666667,0.0,0.0,0.0,0.7266666666666667,0.0,31.0,61.0,56.0,0.0
547,10,6,0.7266666666666667,0.0,0.0,0.0,0.7266666666666667,0.0,28.1,58.1,55.5,0.0
548,10,6,0.8433333333333334,0.0,0.0,0.0,0.8433333333333334,0.0,38.7,68.7,63.5,0.0
549,10,7,0.7699999999999999,0.0,0.0,0.0,0.7699999999999999,0.0,30.5,60.5,63.5,0.0
550,10,6,0.6166666666666667,0.0,0.0,0.0,0.6166666666666667,0.0,26.9,56.9,54.5,0.0
551,10,8,0.8066666666666666,0.0,0.0,0.0,0.8066666666666666,0.0,35.6,65.6,63.5,0.0
552,10,6,0.42666666666666664,0.0,0.0,0.0,0.42666666666666664,0.0,13.9,43.9,38.0,0.0
553,10,8,0.8266666666666668,0.0,0.0,0.0,0.8266666666666668,0.0,32.0,62.0,56.0,0.0
554,10,6,0.6733333333333332,0.0,0.0,0.0,0.6733333333333332,0.0,23.3,53.3,55.0,0.0
555,10,8,0.6733333333333333,0.0,0.0,0.0,0.6733333333333333,0.0,26.3,56.3,56.0,0.0
556,10,6,0.6933333333333334,0.0,0.0,0.0,0.6933333333333334,0.0,26.9,56.9,55.0,0.0
557,10,7,0.8366666666666667,0.0,0.0,0.0,0.8366666666666667,0.0,33.4,63.4,55.5,0.0
558,10,7,0.7666666666666668,0.0,0.0,0.0,0.7666666666666668,0.0,30.2,60.2,55.0,0.0
559,10,9,0.7066666666666667,0.0,0.0,0.0,0.7066666666666667,0.0,29.5,59.5,56.0,0.0
560,10,7,0.7466666666666667,0.0,0.0,0.0,0.7466666666666667,0.0,34.5,64.5,55.5,0.0
561,10,4,0.61,0.0,0.0,0.0,0.61,0.0,22.7,52.7,47.0,0.0
562,10,6,0.7733333333333333,0.0,0.0,0.0,0.7733333333333333,0.0,32.4,62.4,56.0,0.0
563,10,6,0.6433333333333333,0.0,0.0,0.0,0.6433333333333333,0.0,24.6,54.6,53.0,0.0
564,10,7,0.7566666666666666,0.0,0.0,0.0,0.7566666666666666,0.0,24.9,54.9,56.0,0.0
565,10,8,0.65,0.0,0.0,0.0,0.65,0.0,26.7,56.7,54.0,0.0
566,10,7,0.6933333333333334,0.0,0.0,0.0,0.6933333333333334,0.0,26.1,56.1,56.0,0.0
567,10,6,0.65,0.0,0.0,0.0,0.65,0.0,25.9,55.9,56.0,0.0
568,10,6,0.5233333333333334,0.0,0.0,0.0,0.5233333333333334,0.0,22.8,52.8,46.5,0.0
569,10,6,0.8466666666666667,0.0,0.0,0.0,0.8466666666666667,0.0,36.7,66.7,63.5,0.0
570,10,8,0.72,0.0,0.0,0.0,0.72,0.0,35.0,65.0,63.5,0.0
571,10,5,0.89,0.0,0.0,0.0,0.89,0.0,35.8,65.8,55.5,0.0
572,10,6,0.6699999999999999,0.0,0.0,0.0,0.6699999999999999,0.0,22.3,52.3,55.0,0.0
573,10,7,0.6033333333333333,0.0,0.0,0.0,0.6033333333333333,0.0,21.1,51.1,55.5,0.0
574,10,7,0.74,0.0,0.0,0.0,0.74,0.0,27.5,57.5,55.5,0.0
575,10,7,0.6666666666666667,0.0,0.0,0.0,0.6666666666666667,0.0,24.2,54.2,55.5,0.0
576,10,7,0.5733333333333334,0.0,0.0,0.0,0.5733333333333334,0.0,20.3,50.3,54.0,0.0
577,10,6,0.7166666666666667,0.0,0.0,0.0,0.7166666666666667,0.0,29.9,59.9,55.0,0.0
578,10,6,0.7066666666666668,0.0,0.0,0.0,0.7066666666666668,0.0,27.3,57.3,56.0,0.0
579,10,7,0.7533333333333333,0.0,0.0,0.0,0.7533333333333333,0.0,33.0,63.0,55.5,0.0
580,10,6,0.5866666666666667,0.0,0.0,0.0,0.5866666666666667,0.0,20.7,50.7,54.0,0.0
581,10,7,0.75,0.0,0.0,0.0,0.75,0.0,30.7,60.7,55.5,0.0
582,10,6,0.62,0.0,0.0,0.0,0.62,0.0,24.7,54.7,55.5,0.0
583,10,6,0.42333333333333323,0.0,0.0,0.0,0.42333333333333323,0.0,15.8,45.8,38.0,0.0
