feature,feature_group,healthy_mse,middle_mse,near_failure_mse,healthy_share,middle_share,near_failure_share,near_minus_healthy_mse,near_to_healthy_ratio
sensor_13,sensor,0.2734899920214841,0.2994845058389338,0.8101589796633576,0.3312324390016764,0.33921101332381887,0.4120440320928573,0.5366689876418735,2.9622984507590853
sensor_8,sensor,0.22962279099258334,0.2408664819394163,0.4098308554814764,0.27810347482430275,0.2728173305177743,0.20843854404825812,0.18020806448889307,1.7848004273004123
sensor_11,sensor,0.09480219918762431,0.11084801265642139,0.33752371352731453,0.11481796254238359,0.1255519600013577,0.17166338377998147,0.24272151433969022,3.560294132621502
sensor_14,sensor,0.10784386831799014,0.11497692462558033,0.2613883213724455,0.1306131433560369,0.13022857059615253,0.13294118880844802,0.15354445305445535,2.4237661857761927
sensor_9,sensor,0.0940779483526015,0.08935329096668282,0.08943080953192227,0.1139407992913248,0.10120597153339,0.04548419788937413,-0.004647138820679228,0.9506033145699342
sensor_7,sensor,0.006043298487600118,0.007254420859660104,0.02433755290437935,0.007319231255473811,0.008216717068515685,0.012377994543935877,0.018294254416779232,4.027196894926706
sensor_12,sensor,0.013806425853944452,0.013531869569969854,0.017605557576736697,0.016721402036307714,0.015326866998133997,0.00895412519426234,0.003799131722792245,1.2751712690150407
sensor_15,sensor,0.0013585933850948243,0.001651774968239209,0.0060177379941712605,0.0016454357149608303,0.0018708822988681647,0.0030606005604320247,0.0046591446090764365,4.429388557452945
sensor_21,sensor,0.0010738682271973783,0.0012253748873209645,0.0034160359091969053,0.0013005960087674867,0.0013879204069851005,0.0017373839519551578,0.002342167681999527,3.1810568770728027
sensor_4,sensor,0.0015855579376955066,0.0015905567181697573,0.0017885721456141646,0.001920319712613449,0.0018015434708650298,0.000909661556641715,0.00020301420791865804,1.1280396023960335
sensor_17,sensor,0.0004632815163097675,0.0005291795290497478,0.0016658909671605313,0.0005610949982390018,0.0005993749952985055,0.0008472663370603147,0.0012026094508507637,3.595850273564239
sensor_20,sensor,0.0007632465337265883,0.0007626109900323755,0.001001817583697707,0.0009243921836305199,0.000863771052115421,0.0005095209298054724,0.00023857104997111874,1.3125740366038645
op_setting_1,operating_setting,0.0002704701689972849,0.0003020094902270721,0.0007696568593987325,0.00032757503516665657,0.00034207093594495054,0.00039144479495414094,0.0004991866904014476,2.845625683052044
sensor_2,sensor,0.0002207043153425642,0.00024020777179261922,0.0006315648086673376,0.0002673020249434572,0.00027207124271681846,0.0003212116594688331,0.00041086049332477337,2.861587947142876
sensor_6,sensor,0.00011764763770110443,0.0001384150461514992,0.0004755115409183751,0.00014248680067042893,0.00015677575016039217,0.00024184351163781428,0.00035786390321727066,4.041828210147
op_setting_2,operating_setting,8.840222110783446e-05,8.684538895913656e-05,0.00010859617655904698,0.00010706674527385726,9.836539726423523e-05,5.5231636731164613e-05,2.019395545121252e-05,1.2284326705582074
sensor_3,sensor,4.564199050161868e-05,4.3079880616300284e-05,4.398123782051848e-05,5.527846822839095e-05,4.879441063833697e-05,2.23687041962203e-05,-1.6607526811002006e-06,0.9636134913691973
