horizon,partition,n_rows,n_positive,positive_rate,PR_AUC_raw,PR_AUC_platt,PR_AUC_platt_monotone,Brier_raw,Brier_platt,Brier_platt_monotone,platt_coefficient,platt_intercept,n_rows_changed_by_monotonicity,fraction_changed_by_monotonicity,maximum_monotonicity_adjustment
10,val_calib,2026,110,0.054294175715695954,0.9639151255570418,0.9639151255570418,0.9639151255570418,0.03665393658410524,0.008333083167975777,0.008333083167975777,2.4984104968703194,-5.4693977639166915,0,0.0,0.0
20,val_calib,2026,210,0.10365251727541955,0.9533141937581185,0.9533141937581185,0.9533141937581185,0.011945349063670532,0.011855464349935852,0.011855464349935852,0.9983114860890074,-0.05808766429077305,4,0.0019743336623889436,8.082239117949602e-12
30,val_calib,2026,310,0.15301085883514315,0.9650239093502,0.9650239093502,0.957914089432436,0.01965860800832078,0.01892429921235533,0.019302958324468943,0.8619486263210856,-0.5237237328957907,56,0.027640671273445213,0.8708549096102695
