model,representation,window,include_settings,cap,alpha,n_features,tune_PHM_mean_dev,tune_MAE_dev,tune_RMSE_dev,tune_R2_dev,tune_nearfail_MAE
ridge,baseline,,False,100,0.1,15,3.772733044219504,12.238726542434993,14.995965066132321,0.7354365079239282,12.36474936297735
ridge,window,30.0,False,100,0.1,121,2.712808489110112,10.492410663424398,13.09162052140701,0.7983640848511468,8.419772402171855
