candidate_id,family,n_estimators,max_samples,n_fit_rows,n_reference_rows,n_engine_balanced_reference_rows,reference_engines,engine_balanced_k,fit_time_seconds,reference_score_time_seconds,reference_score_min,reference_score_median,reference_score_max
iforest_n200_ms_0p5,iforest,200,0.5,3867,1820,432,18,24,0.3724268639998627,0.028418478001185576,0.36860927532928095,0.41506428406316187,0.5624449954169701
iforest_n200_ms_auto,iforest,200,auto,3867,1820,432,18,24,0.5032557960003032,0.021562515999903553,0.3850075211140527,0.4433417140402367,0.5770136587741319
iforest_n400_ms_0p5,iforest,400,0.5,3867,1820,432,18,24,0.6554678070006048,0.067309853999177,0.3695417002462511,0.4147664657724074,0.5665777303793282
iforest_n400_ms_auto,iforest,400,auto,3867,1820,432,18,24,0.6933678139994299,0.03934964700056298,0.3845692951988524,0.4419069889094491,0.5747328075816526
