regime,rows,mean_anomaly_percentile,crossing_rate,healthy_false_alert_rate
0,6054,0.5815563504449736,0.09844730756524611,0.058803649881716796
1,10382,0.5969894290958933,0.08312463879791948,0.05391047712739793
2,6107,0.5636015011979846,0.06713607335844113,0.04694286668894086
3,6254,0.6079673759751614,0.10201471058522546,0.05478331970564186
4,6185,0.589497920131823,0.09005658852061439,0.054767403497195645
5,6232,0.600568872068031,0.08584724005134788,0.0522608125819135
