horizon,policy,partition,tie_break,threshold,fn_cost,fp_cost,precision,recall,f1,tp,fp,fn,tn,false_negative_cost_contribution,false_positive_cost_contribution,total_cost,cost_per_row
10,sensitivity_FN5_FP1,val_calib,lowest threshold,0.2398213710640097,5.0,1.0,0.8217054263565892,0.9636363636363636,0.8870292887029289,106,23,4,1893,20.0,23.0,43.0,0.021224086870681145
10,sensitivity_FN20_FP1,val_calib,lowest threshold,0.04368020857736391,20.0,1.0,0.6666666666666666,1.0,0.8,110,55,0,1861,0.0,55.0,55.0,0.027147087857847977
20,sensitivity_FN5_FP1,val_calib,lowest threshold,0.410643020710129,5.0,1.0,0.9026548672566371,0.9714285714285714,0.9357798165137615,204,22,6,1794,30.0,22.0,52.0,0.02566633761105627
20,sensitivity_FN20_FP1,val_calib,lowest threshold,0.22290462955112206,20.0,1.0,0.7969348659003831,0.9904761904761905,0.8832271762208068,208,53,2,1763,40.0,53.0,93.0,0.04590325765054294
30,sensitivity_FN5_FP1,val_calib,lowest threshold,0.11654045954796569,5.0,1.0,0.7817258883248731,0.9935483870967742,0.875,308,86,2,1630,10.0,86.0,96.0,0.04738400789733465
30,sensitivity_FN20_FP1,val_calib,lowest threshold,0.07512469552473533,20.0,1.0,0.7311320754716981,1.0,0.8446866485013624,310,114,0,1602,0.0,114.0,114.0,0.0562685093780849
