model,representation,window,include_settings,cap,n_features,tune_PHM_mean_dev,tune_MAE_dev,tune_RMSE_dev,tune_R2_dev,tune_nearfail_MAE,fit_time_seconds,inference_total_ms,inference_us_per_row
gbr,window,30,False,100,121,1.7785198516685918,8.235245320244925,10.68823371654517,0.8656019529653024,3.9577089220631536,0.03135635699982231,19.635081000160426,4.791381405602837
rf,window,30,False,100,121,2.005285983555256,8.282130481323613,11.147338296207097,0.853808057541076,4.120110699757957,0.07431708900003287,70.6376710004406,17.237108589663396
ridge,window,30,False,100,121,2.712808489110112,10.492410663424398,13.09162052140701,0.7983640848511468,8.419772402171855,0.02244238500134088,3.3216140000149608,0.8105451439763204
