horizon,model,representation,window,include_settings,class_weight,C,n_features,train_positive_rate,tune_positive_rate,tune_PR_AUC,tune_Brier,fit_time_seconds,inference_us_per_row
10,logistic,baseline,,False,none,0.1,15,0.05307782449851796,0.053684724255734506,0.9399155003434917,0.011016032965130377,0.019622513998911018,0.16498779897692714
10,logistic,baseline,,False,none,1.0,15,0.05307782449851796,0.053684724255734506,0.9371010301874585,0.011271613228352823,0.027691270001014345,0.16037628132797208
10,logistic,baseline,,False,none,10.0,15,0.05307782449851796,0.053684724255734506,0.9364269376919567,0.011330044701529764,0.022971985999902245,0.2555563688670397
10,logistic,baseline,,False,balanced,0.1,15,0.05307782449851796,0.053684724255734506,0.9448406692316128,0.15085174273673777,0.021072446999824024,0.19244070302154379
10,logistic,baseline,,False,balanced,1.0,15,0.05307782449851796,0.053684724255734506,0.9448546378306163,0.06404583566647984,0.027168025000719354,0.17740336752263375
10,logistic,baseline,,False,balanced,10.0,15,0.05307782449851796,0.053684724255734506,0.9447952898568587,0.03885621659654932,0.032337462000214146,0.24743533443179794
10,logistic,baseline,,True,none,0.1,17,0.05307782449851796,0.053684724255734506,0.9391965571002989,0.011214379673643672,0.02088469900081691,0.18061810637874917
10,logistic,baseline,,True,none,1.0,17,0.05307782449851796,0.053684724255734506,0.9364845618452554,0.011467869911431791,0.03691457199965953,0.14734480243757786
10,logistic,baseline,,True,none,10.0,17,0.05307782449851796,0.053684724255734506,0.9355773641128055,0.011525536086500823,0.03964533399994252,0.2060600288632508
10,logistic,baseline,,True,balanced,0.1,17,0.05307782449851796,0.053684724255734506,0.9444048770202574,0.1508437435844377,0.11072953300026711,0.40357491468184953
10,logistic,baseline,,True,balanced,1.0,17,0.05307782449851796,0.053684724255734506,0.9443555333345313,0.06401576985566254,0.030370418000529753,0.19725329445791145
10,logistic,baseline,,True,balanced,10.0,17,0.05307782449851796,0.053684724255734506,0.9441297425012598,0.03878885814990878,0.03467496499979461,0.18940800425723006
10,logistic,window,5.0,False,none,0.1,121,0.05307782449851796,0.053684724255734506,0.9452068798577895,0.010764764330162008,0.18538927199915634,0.30967862352351816
10,logistic,window,5.0,False,none,1.0,121,0.05307782449851796,0.053684724255734506,0.9384398843991955,0.01167691708762577,0.2789946580014657,0.2875544165338984
10,logistic,window,5.0,False,none,10.0,121,0.05307782449851796,0.053684724255734506,0.9325014008912381,0.012610883205894484,0.8485129720011173,0.5318897020990966
10,logistic,window,5.0,False,balanced,0.1,121,0.05307782449851796,0.053684724255734506,0.9611196207686253,0.07568105206454125,0.08710189299927151,0.811604441199763
10,logistic,window,5.0,False,balanced,1.0,121,0.05307782449851796,0.053684724255734506,0.9610901774843857,0.04126476587632706,0.10643836600138457,0.48417471954652996
10,logistic,window,5.0,False,balanced,10.0,121,0.05307782449851796,0.053684724255734506,0.960390418242851,0.026064779704018978,0.13139493800008495,0.35847901409788363
10,logistic,window,5.0,True,none,0.1,123,0.05307782449851796,0.053684724255734506,0.9450453537232615,0.010906004049650754,0.19487904200104822,0.3201281113170879
10,logistic,window,5.0,True,none,1.0,123,0.05307782449851796,0.053684724255734506,0.9380833692430711,0.011870064697087642,0.3369139009992068,0.3808038070590657
10,logistic,window,5.0,True,none,10.0,123,0.05307782449851796,0.053684724255734506,0.9315665536828095,0.012788960023382978,1.0604549590007082,0.3273928744674457
10,logistic,window,5.0,True,balanced,0.1,123,0.05307782449851796,0.053684724255734506,0.961131384644076,0.07567608473510534,0.0819314670006861,1.2717493901339385
10,logistic,window,5.0,True,balanced,1.0,123,0.05307782449851796,0.053684724255734506,0.9610789311204256,0.04124951262791062,0.10700600199925248,0.38641532456362326
10,logistic,window,5.0,True,balanced,10.0,123,0.05307782449851796,0.053684724255734506,0.9603052882794009,0.026031621012939554,0.11857227499967848,0.37091019985275914
