normalization,model,MAE,RMSE,R2,PHM_mean
global,ridge,12.648633727943322,16.589036528999095,0.7121495452468211,4.424284098641968
condition_aware,ridge,11.148887632841854,14.761104492706364,0.7720905662303009,3.0782750822905287
condition_aware,gbr,7.675456139101908,11.959110301617658,0.8504031888835438,2.9369488287506496
condition_aware,rf,7.4462385829791184,11.794254710980342,0.8544991272704145,2.9151903316453147
