regime,rows,engines,MAE,RMSE,R2,PHM_mean
0,6054,248,5.6939984997792035,10.85755488979896,0.608014178269082,3.6781816355084187
1,10382,248,5.96810036825493,10.910808787106856,0.5966546367211165,3.301291148155495
2,6107,248,6.094570560491889,10.814696022954687,0.5959297879105514,2.761185376233869
3,6254,248,5.260676134882942,10.112262664403508,0.6602894552923595,2.791769862576735
4,6185,248,5.507194227979719,10.326709606816001,0.6320746138971294,2.4456456890238596
5,6232,248,5.5805187776263905,10.622735721632433,0.6281817615601137,3.330848104341246
