draw_id,n_sampled_engines,n_unique_engines,mean_total_cost,miss_rate,mean_miss_component,mean_late_component,mean_early_component,mean_lead_time_if_alerted,median_lead_time_if_alerted,healthy_first_trigger_fraction
730,10,5,0.48,0.0,0.0,0.26666666666666666,0.2133333333333333,34.8,34.5,0.0
731,10,6,0.5633333333333332,0.0,0.0,0.0,0.5633333333333332,49.5,44.0,0.0
732,10,6,0.47666666666666657,0.0,0.0,0.26666666666666666,0.20999999999999996,34.7,32.0,0.0
733,10,6,0.5199999999999999,0.0,0.0,0.13333333333333333,0.3866666666666666,40.8,45.0,0.0
734,10,7,0.4966666666666667,0.0,0.0,0.13333333333333333,0.36333333333333334,41.4,40.5,0.0
735,10,7,0.4966666666666667,0.0,0.0,0.13333333333333333,0.36333333333333334,41.4,42.0,0.0
736,10,5,0.72,0.0,0.0,0.13333333333333333,0.5866666666666667,50.7,48.0,0.0
737,10,6,0.5633333333333332,0.0,0.0,0.13333333333333333,0.43000000000000005,43.4,44.5,0.0
738,10,5,0.3966666666666666,0.0,0.0,0.0,0.3966666666666666,44.5,39.0,0.0
739,10,5,0.6833333333333332,0.0,0.0,0.13333333333333333,0.55,49.6,49.0,0.0
740,10,8,0.5900000000000001,0.0,0.0,0.13333333333333333,0.45666666666666667,45.5,43.0,0.0
741,10,8,0.44000000000000006,0.0,0.0,0.0,0.44000000000000006,44.5,42.0,0.0
742,10,5,0.5599999999999999,0.0,0.0,0.26666666666666666,0.2933333333333333,37.2,39.5,0.0
743,10,6,0.54,0.0,0.0,0.13333333333333333,0.4066666666666666,41.4,42.0,0.0
744,10,6,0.4333333333333334,0.0,0.0,0.0,0.4333333333333334,43.0,43.0,0.0
745,10,7,0.4066666666666666,0.0,0.0,0.13333333333333333,0.2733333333333333,37.4,37.0,0.0
746,10,6,0.6966666666666665,0.0,0.0,0.4,0.2966666666666667,36.5,41.5,0.0
747,10,4,0.5,0.0,0.0,0.26666666666666666,0.2333333333333333,35.4,37.0,0.0
748,10,7,0.5833333333333333,0.0,0.0,0.0,0.5833333333333333,51.4,45.5,0.0
749,10,6,0.29999999999999993,0.0,0.0,0.0,0.29999999999999993,39.0,39.5,0.0
750,10,7,0.4699999999999999,0.0,0.0,0.0,0.4699999999999999,45.4,43.0,0.0
