region,feature_group,n_features,total_group_mse,share_of_region_error
healthy,operating_setting,2,0.00035887239010511937,0.00043464178044051385
healthy,sensor,15,0.8253150647573974,0.9995653582195596
middle,operating_setting,2,0.00038885487918620865,0.00044043633320918577
middle,sensor,15,0.882496706248037,0.9995595636667908
near_failure,operating_setting,2,0.0008782530359577795,0.0004466764316853056
near_failure,sensor,15,1.965316902244879,0.9995533235683147
